entropy,sequentiality,gibberish,string
0.06149483,0.00020122,0.02387734,Java_it_uniroma2_adidiego_apikeytestapp_NativeKey_localKey
0.06179660,0.00020299,0.02367832,Java_it_uniroma2_adidiego_apikeytestapp_NativeKey_globalKey
0.05453368,0.00038693,0.02126404,api_key_native_global
0.06005195,0.00022005,0.02606831,Java_it_uniroma2_adidiego_apikeytestapp_NativeKey_staticKey
0.04961097,0.00054202,0.02021694,__cxa_allocate_exception
0.05996892,0.00027048,0.01378188,_ZN10__cxxabiv111__terminateEPFvvE
0.04884783,0.00073348,0.01859692,__cxa_call_unexpected
0.05801257,0.00021647,0.01992674,_ZSt13set_terminatePFvvE
0.06170849,0.00021813,0.02023857,_ZN10__cxxabiv119__terminate_handlerE
0.05349528,0.00044181,0.02405513,_ZSt13get_terminatev
0.06178922,0.00024131,0.01344060,_ZN10__cxxabiv112__unexpectedEPFvvE
0.05930837,0.00020853,0.01520964,_ZSt14set_unexpectedPFvvE
0.06251240,0.00018759,0.01763434,_ZN10__cxxabiv120__unexpected_handlerE
0.05507020,0.00025025,0.01669241,_ZSt14get_unexpectedv
0.06319677,0.00017292,0.00972747,_ZTVN10__cxxabiv120__si_class_type_infoE
0.05853624,0.00049905,0.02105077,pthread_mutex_unlock
0.04958102,0.00063646,0.01366685,__cxa_free_exception
0.06266831,0.00016119,0.00983451,_ZN10__cxxabiv120__si_class_type_infoD2Ev
0.06402784,0.00016649,0.00974334,_ZN10__cxxabiv117__class_type_infoD2Ev
0.06239351,0.00017089,0.01027593,_ZN10__cxxabiv120__si_class_type_infoD1Ev
0.06239351,0.00017839,0.00983283,_ZN10__cxxabiv120__si_class_type_infoD0Ev
0.06597839,0.00012486,0.01061925,_ZNK10__cxxabiv120__si_class_type_info20__do_find_public_srcEiPKvPKNS_17__class_type_infoES2_
0.06722059,0.00010470,0.01131532,_ZNK10__cxxabiv120__si_class_type_info12__do_dyncastEiNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE
0.06644057,0.00013293,0.01194227,_ZNK10__cxxabiv120__si_class_type_info11__do_upcastEPKNS_17__class_type_infoEPKvRNS1_15__upcast_resultE
0.06660670,0.00013257,0.01087864,_ZNK10__cxxabiv117__class_type_info11__do_upcastEPKS0_PKvRNS0_15__upcast_resultE
0.06319677,0.00017416,0.01081231,_ZTSN10__cxxabiv120__si_class_type_infoE
